committee_id,committee_name,contributor_city,contributor_state,contributor_employer,contribution_receipt_date,contribution_receipt_amount,contributor_aggregate_ytd
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,AMHERST COLLEGE,2019-09-29 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-08-02 00:00:00,10.00,210.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-08-31 00:00:00,10.00,210.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-09-30 00:00:00,10.00,210.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-10 00:00:00,15.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-06 00:00:00,15.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-26 00:00:00,15.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-07 00:00:00,25.00,410.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-30 00:00:00,50.00,410.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-09 00:00:00,50.00,410.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-31 00:00:00,50.00,410.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-22 00:00:00,25.00,410.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-19 00:00:00,45.00,305.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-19 00:00:00,45.00,305.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-04 00:00:00,35.00,305.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-19 00:00:00,45.00,305.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,WAY FINDERS INC.,2019-08-03 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,WAY FINDERS INC.,2019-09-14 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,WAY FINDERS INC.,2019-09-15 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,HOLYOKE PEDIATRIC ASSOCIATIONS,2019-09-26 00:00:00,257.50,757.50
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-10 00:00:00,100.00,1150.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-10 00:00:00,100.00,1150.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-20 00:00:00,25.00,217.42
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-31 00:00:00,50.00,253.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SUNGAGE FINANCIAL,2019-07-09 00:00:00,250.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SUNGAGE FINANCIAL,2019-09-14 00:00:00,100.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-07-08 00:00:00,50.00,234.32
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-07-16 00:00:00,76.90,234.32
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-09 00:00:00,25.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-24 00:00:00,100.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-31 00:00:00,100.00,1000.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-31 00:00:00,100.00,1000.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-30 00:00:00,100.00,1000.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-01 00:00:00,400.00,575.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-07 00:00:00,25.00,575.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-25 00:00:00,50.00,575.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-07-17 00:00:00,7.00,216.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-08-17 00:00:00,7.00,216.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-09-17 00:00:00,7.00,216.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-07-08 00:00:00,100.00,1200.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-08-14 00:00:00,100.00,1200.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-09-15 00:00:00,200.00,1200.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,RETIRED,2019-09-24 00:00:00,100.00,1200.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-07-10 00:00:00,100.00,668.82
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-08-10 00:00:00,100.00,668.82
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-18 00:00:00,100.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-27 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,BLUERISC,2019-07-08 00:00:00,10.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,BLUERISC,2019-07-16 00:00:00,15.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,BLUERISC,2019-08-28 00:00:00,50.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,BLUERISC,2019-08-31 00:00:00,50.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,BLUERISC,2019-09-30 00:00:00,25.00,350.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-07-16 00:00:00,50.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-15 00:00:00,50.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-29 00:00:00,50.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-08-29 00:00:00,50.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-06 00:00:00,15.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-15 00:00:00,28.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-25 00:00:00,25.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-09-30 00:00:00,50.00,568.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-01-30 00:00:00,250.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-02-09 00:00:00,50.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-02-21 00:00:00,250.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-02-27 00:00:00,5.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-03-21 00:00:00,250.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-03-27 00:00:00,10.00,815.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-01-03 00:00:00,50.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-01-09 00:00:00,5.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-01-16 00:00:00,10.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-01-25 00:00:00,5.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-01 00:00:00,25.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-03 00:00:00,50.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-04 00:00:00,25.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-03 00:00:00,50.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-04 00:00:00,25.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-18 00:00:00,100.00,345.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-02-09 00:00:00,2800.00,2800.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NATIONAL YIDDISH BOOK CENTER,2019-03-18 00:00:00,250.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2018-12-31 00:00:00,50.00,220.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-02-17 00:00:00,35.00,220.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-02-25 00:00:00,100.00,220.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-03-19 00:00:00,10.00,220.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,SELF EMPLOYED,2019-03-27 00:00:00,25.00,220.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,HOLYOKE PEDIATRIC ASSOCIATES,2019-01-20 00:00:00,500.00,500.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-19 00:00:00,50.00,450.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-25 00:00:00,100.00,450.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-21 00:00:00,100.00,450.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-27 00:00:00,100.00,450.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-30 00:00:00,100.00,450.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2018-12-31 00:00:00,100.00,400.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-01-31 00:00:00,100.00,400.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-02-28 00:00:00,100.00,400.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-03-31 00:00:00,100.00,400.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,CLARK UNIVERSITY,2019-03-30 00:00:00,250.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UMASS-AMHERST,2019-02-23 00:00:00,2000.00,2000.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UNIVERSITY OF MASSACHUSETTS,2019-04-03 00:00:00,250.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-03 00:00:00,5.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-06 00:00:00,5.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-10 00:00:00,10.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-20 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-26 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-30 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-05-02 00:00:00,10.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-05-04 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-05-10 00:00:00,5.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-05-17 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-09 00:00:00,10.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-10 00:00:00,5.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-14 00:00:00,15.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-27 00:00:00,250.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-30 00:00:00,15.00,2395.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-04-03 00:00:00,50.00,430.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-04-04 00:00:00,25.00,430.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-04-22 00:00:00,10.00,430.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-10 00:00:00,50.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-11 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-17 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-04-30 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-05-17 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,MOUNT HOLYOKE COLLEGE,2019-06-20 00:00:00,25.00,225.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NATIONAL YIDDISH BOOK CENTER,2019-05-08 00:00:00,250.00,500.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-06-28 00:00:00,250.00,250.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-04-20 00:00:00,103.00,213.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-05-30 00:00:00,50.00,213.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-06-30 00:00:00,25.00,213.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-04-27 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,NONE,2019-05-31 00:00:00,100.00,300.00
C00693234,"WARREN FOR PRESIDENT, INC.",AMHERST,MA,UMASS,2019-06-10 00:00:00,400.00,600.00
